0: [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] == [72] Changed {56}, Perturbations {2}
34<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.583, [64] 0.274, [57] 0.015
35<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.586, [64] 0.271, [57] 0.015
36<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.586, [64] 0.272, [57] 0.015
37<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.584, [64] 0.273, [57] 0.015
38<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.583, [64] 0.274, [57] 0.015
39<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.582, [64] 0.275, [57] 0.015
40<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.581, [64] 0.276, [57] 0.015
41<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.590, [64] 0.267, [57] 0.015
42<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.589, [64] 0.269, [57] 0.015
43<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.579, [64] 0.278, [57] 0.015
44<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.582, [64] 0.275, [57] 0.015
45<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.583, [64] 0.274, [57] 0.015
46<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.585, [64] 0.272, [57] 0.015
47<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.582, [64] 0.275, [57] 0.015
48<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.586, [64] 0.271, [57] 0.015
49<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.581, [64] 0.276, [57] 0.015
50<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.584, [64] 0.273, [57] 0.015
51<[89, 89, 89, 89, 89, 89,  0, 64,  1, 72] -> [72] 0.393, [64] 0.386, [57] 0.021
52<[89, 89, 89, 89, 89, 89,  0, 64,  1, 72] -> [72] 0.393, [64] 0.383, [57] 0.021
53<[89, 89, 89, 89, 89, 89,  0, 64,  1, 72] -> [72] 0.396, [64] 0.378, [57] 0.022
54<[89, 89, 89, 89, 89, 89,  0, 64,  1, 72] -> [72] 0.396, [64] 0.382, [57] 0.021
55<[89, 89, 89, 89, 89, 89,  0, 64,  1, 72] -> [64] 0.392, [72] 0.387, [57] 0.021
== [89, 89, 89, 89, 89, 89, XX, 64, XX, 72]
-> [- , - , - , - , - , - ,  0, - ,  1, - ]

incorrect=0 changed=0 perturbed=1 timeout=0
